Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1279411200,2010-07-18T00:00:00,2.66617854612e-05,2.244033609651e-05,2.44400135294118e-05,0.000233717211352879,0.000196711986222007,0.000214241158598823
1279497600,2010-07-19T00:00:00,2.681671695e-05,2.257073676625e-05,2.45820343137255e-05,0.0002350753407837,0.000197855078492948,0.000215486112794118
1279584000,2010-07-20T00:00:00,2.7230096606e-05,2.29186646433833e-05,2.49609663398693e-05,0.000238699026848196,0.000200905014263898,0.000218807830935294
1279670400,2010-07-21T00:00:00,2.84443564044e-05,2.394066664037e-05,2.60740398039216e-05,0.00024934322824097,0.000209863883769483,0.000228565032921176
1279756800,2010-07-22T00:00:00,2.821182175968e-05,2.3744949981064e-05,2.58608826666667e-05,0.000247304829545355,0.000208148231534007,0.000226696497456
1279843200,2010-07-23T00:00:00,2.85218507762e-05,2.40058910699683e-05,2.61450764379085e-05,0.000250022543904169,0.000210435641119342,0.000229187740054706
1279929600,2010-07-24T00:00:00,2.86325611112571e-05,2.40990722686414e-05,2.6246561092437e-05,0.00025099303070128,0.000211252467506911,0.000230077354536302
1280016000,2010-07-25T00:00:00,2.99390502132e-05,2.519870059611e-05,2.74441782352941e-05,0.000262445714168911,0.0002208918094255,0.000240575666410588
1280102400,2010-07-26T00:00:00,3.14670172400571e-05,2.64847395103814e-05,2.88448171708683e-05,0.000275839873126341,0.000232165226548004,0.000252853667319832
1280188800,2010-07-27T00:00:00,3.23426476134857e-05,2.72217284080171e-05,2.96474797759104e-05,0.000283515648979816,0.000238625671224678,0.00025988980771563
1280275200,2010-07-28T00:00:00,3.24951498629143e-05,2.73500844679529e-05,2.97872737535014e-05,0.000284852483698307,0.000239750840446075,0.000261115241723193
1280361600,2010-07-29T00:00:00,3.39597112884e-05,2.858275700107e-05,3.11297907843137e-05,0.000297690829154114,0.00025055644787138,0.000272883746015294
1280448000,2010-07-30T00:00:00,3.50852343260571e-05,2.95300722244314e-05,3.21615220728291e-05,0.000307557164102217,0.000258860613119366,0.00028192790249042
1280534400,2010-07-31T00:00:00,3.69470622709714e-05,3.10971107447343e-05,3.38682007282913e-05,0.000323877947867336,0.000272597272788341,0.000296888647584202
1280620800,2010-08-01T00:00:00,3.89512338279429e-05,3.27839551385186e-05,3.57053612605042e-05,0.000341446515735747,0.000287384150744254,0.00031299319680958
1280707200,2010-08-02T00:00:00,4.07790278838857e-05,3.43223484689371e-05,3.73808421288515e-05,0.000357468958430142,0.000300869706678703,0.000327680462101513
1280793600,2010-08-03T00:00:00,4.26572961356571e-05,3.59032242475114e-05,3.9102591092437e-05,0.00037393385792517,0.000314727663753685,0.000342773313516302
1280880000,2010-08-04T00:00:00,4.51595599148571e-05,3.80092962616714e-05,4.13963369747899e-05,0.000395868702213638,0.000333189491029812,0.000362880289921008
1280966400,2010-08-05T00:00:00,4.67523802716e-05,3.934992006193e-05,4.28564249019608e-05,0.000409831365460846,0.000344941399262878,0.000375679420690588
1281052800,2010-08-06T00:00:00,4.76453833872e-05,4.010153101756e-05,4.36750125490196e-05,0.000417659430772195,0.000351530020899931,0.000382855160004706
1281139200,2010-08-07T00:00:00,4.82564475090857e-05,4.06158433201471e-05,4.42351556582633e-05,0.000423016018864645,0.00035603848254441,0.000387765374500336
1281225600,2010-08-08T00:00:00,4.96851837882857e-05,4.18183630218071e-05,4.55448329131653e-05,0.000435540321088113,0.000366579770249161,0.000399246005316807
1281312000,2010-08-09T00:00:00,5.06379609150857e-05,4.26202837701971e-05,4.64182135014006e-05,0.000443892365381641,0.000373609407529548,0.000406902059553277
1281398400,2010-08-10T00:00:00,5.20805119596e-05,4.383443089933e-05,4.77405543137255e-05,0.000456537767837854,0.000384252621263527,0.000418493699114118
1281484800,2010-08-11T00:00:00,5.48505809761714e-05,4.61659056549443e-05,5.0279788767507e-05,0.000480820192837119,0.000404690328971242,0.000440752628335966
1281571200,2010-08-12T00:00:00,5.72172490304571e-05,4.81578512673014e-05,5.24492383473389e-05,0.000501566405000987,0.000422151724209164,0.000459770023352773
1281657600,2010-08-13T00:00:00,6.01382498790857e-05,5.06163603148971e-05,5.51268272268907e-05,0.000527171898440065,0.000443703014520388,0.000483241767470924
1281744000,2010-08-14T00:00:00,6.55506933497143e-05,5.51718335693429e-05,6.00882425770308e-05,0.000574617377903595,0.00048363629306886,0.000526733534430252
1281830400,2010-08-15T00:00:00,6.69456656554286e-05,5.63459352599857e-05,6.13669694677871e-05,0.000586845705135487,0.000493928468489035,0.000537942854354622
1281916800,2010-08-16T00:00:00,6.79605233439429e-05,5.72001071478186e-05,6.22972573389356e-05,0.000595741947633003,0.000501416139257778,0.000546097757833109
1282003200,2010-08-17T00:00:00,6.78087817654286e-05,5.70723913192357e-05,6.21581606442577e-05,0.000594411780955747,0.00050029658230442,0.000544878436207563
1282089600,2010-08-18T00:00:00,6.61025969046857e-05,5.56363523947771e-05,6.0594155070028e-05,0.000579455364466475,0.000487708265092616,0.000531168363343865
1282176000,2010-08-19T00:00:00,6.52085386649143e-05,5.48838533763029e-05,5.97746002240896e-05,0.000571618049936639,0.000481111858696671,0.00052398414556437
1282262400,2010-08-20T00:00:00,6.80210580260571e-05,5.72510571719314e-05,6.23527475630252e-05,0.000596272594656417,0.000501862767169151,0.000546584185137479
1282348800,2010-08-21T00:00:00,6.67500014660571e-05,5.61812512339314e-05,6.11876103081232e-05,0.000585130512851457,0.000492484848316643,0.000536370591961008
1282435200,2010-08-22T00:00:00,7.00409092189714e-05,5.89510985926343e-05,6.42042811204482e-05,0.000613978610213503,0.000516765330263032,0.000562814728301849
1282521600,2010-08-23T00:00:00,7.41609728062286e-05,6.24188187785757e-05,6.79810128011204e-05,0.0006500950876194,0.000547163365412995,0.000595921558214622
1282608000,2010-08-24T00:00:00,7.95295427415429e-05,6.69373651407986e-05,7.29022106722689e-05,0.000697155971672365,0.00058677294282424,0.000639060778753109
1282694400,2010-08-25T00:00:00,8.47108404053143e-05,7.12982906744729e-05,7.76517419887955e-05,0.000742575226992985,0.000625000816052429,0.000680695170273782
1282780800,2010-08-26T00:00:00,8.95833302156571e-05,7.53993029315114e-05,8.21181989355742e-05,0.00078528747267045,0.000660950289497629,0.000719848131869244
1282867200,2010-08-27T00:00:00,9.05380212886286e-05,7.62028345845957e-05,8.2993333977591e-05,0.000793656294616118,0.000667994047968566,0.000727519565647563
1282953600,2010-08-28T00:00:00,9.2665176156e-05,7.79931899313e-05,8.49432294117647e-05,0.000812302934183496,0.000683688302937776,0.000744612349023529
